2022-02-28 03:10:54.816948 : Step: 15762/37000, accuracy: 1.000000, cls loss: 0.000850, bbox loss: 162.411516,Landmark loss :276.180570,L2 loss: 4.655955, Total Loss: 362.043133 ,lr:0.000006 
2022-02-28 03:11:11.507591 : Step: 16354/37000, accuracy: 1.000000, cls loss: 0.000579, bbox loss: 154.384418,Landmark loss :276.713157,L2 loss: 4.647769, Total Loss: 358.553715 ,lr:0.000006 
2022-02-28 03:11:21.991584 : Step: 16724/37000, accuracy: 0.999205, cls loss: 0.002626, bbox loss: 151.739130,Landmark loss :273.108280,L2 loss: 4.644827, Total Loss: 353.625299 ,lr:0.000006 
2022-02-28 03:11:33.511252 : Step: 17131/37000, accuracy: 1.000000, cls loss: 0.001355, bbox loss: 165.460043,Landmark loss :260.900443,L2 loss: 4.639943, Total Loss: 348.271762 ,lr:0.000006 
2022-02-28 03:12:07.860084 : Step: 18352/37000, accuracy: 1.000000, cls loss: 0.001145, bbox loss: 159.819816,Landmark loss :260.157439,L2 loss: 4.640429, Total Loss: 344.708921 ,lr:0.000006 
2022-02-28 03:12:26.718569 : Step: 19018/37000, accuracy: 1.000000, cls loss: 0.001713, bbox loss: 152.359125,Landmark loss :257.951039,L2 loss: 4.638703, Total Loss: 338.771017 ,lr:0.000006 
2022-02-28 03:12:45.831655 : Step: 19684/37000, accuracy: 1.000000, cls loss: 0.001523, bbox loss: 143.356224,Landmark loss :260.814056,L2 loss: 4.632437, Total Loss: 337.126128 ,lr:0.000006 
2022-02-28 03:12:50.502605 : Step: 19832/37000, accuracy: 1.000000, cls loss: 0.001519, bbox loss: 159.035280,Landmark loss :247.362539,L2 loss: 4.629246, Total Loss: 331.510944 ,lr:0.000006 
2022-02-28 03:13:08.251446 : Step: 20461/37000, accuracy: 0.998999, cls loss: 0.005217, bbox loss: 161.688193,Landmark loss :229.989398,L2 loss: 4.620822, Total Loss: 315.459535 ,lr:0.000006 
2022-02-28 03:13:47.400326 : Step: 21719/37000, accuracy: 0.998356, cls loss: 0.007470, bbox loss: 138.318267,Landmark loss :239.875256,L2 loss: 4.600567, Total Loss: 313.642426 ,lr:0.000006 
2022-02-28 03:13:52.732952 : Step: 21904/37000, accuracy: 0.999128, cls loss: 0.004609, bbox loss: 145.627042,Landmark loss :236.191835,L2 loss: 4.599361, Total Loss: 313.609326 ,lr:0.000006 
2022-02-28 03:14:06.319229 : Step: 22385/37000, accuracy: 0.998514, cls loss: 0.009430, bbox loss: 145.007925,Landmark loss :230.821944,L2 loss: 4.595372, Total Loss: 307.930708 ,lr:0.000005 
2022-02-28 03:14:13.633742 : Step: 22644/37000, accuracy: 0.998522, cls loss: 0.007008, bbox loss: 139.459987,Landmark loss :224.406474,L2 loss: 4.592157, Total Loss: 298.735631 ,lr:0.000005 
2022-02-28 03:15:12.919053 : Step: 24753/37000, accuracy: 0.995759, cls loss: 0.012610, bbox loss: 141.851256,Landmark loss :221.509061,L2 loss: 4.568018, Total Loss: 297.015317 ,lr:0.000005 
2022-02-28 03:15:14.024222 : Step: 24790/37000, accuracy: 0.996660, cls loss: 0.013422, bbox loss: 135.836783,Landmark loss :221.636010,L2 loss: 4.566883, Total Loss: 294.134706 ,lr:0.000005 
2022-02-28 03:15:23.416433 : Step: 25123/37000, accuracy: 0.996692, cls loss: 0.011097, bbox loss: 130.821114,Landmark loss :223.578526,L2 loss: 4.562858, Total Loss: 293.563039 ,lr:0.000005 
2022-02-28 03:15:27.672381 : Step: 25271/37000, accuracy: 1.000000, cls loss: 0.004158, bbox loss: 124.128294,Landmark loss :220.580836,L2 loss: 4.560311, Total Loss: 287.209453 ,lr:0.000005 
2022-02-28 03:15:43.260610 : Step: 25826/37000, accuracy: 0.997680, cls loss: 0.011341, bbox loss: 131.410818,Landmark loss :212.708716,L2 loss: 4.555247, Total Loss: 282.980713 ,lr:0.000005 
2022-02-28 03:16:13.580142 : Step: 26899/37000, accuracy: 0.997142, cls loss: 0.010430, bbox loss: 134.328698,Landmark loss :208.996292,L2 loss: 4.546114, Total Loss: 280.717186 ,lr:0.000004 
2022-02-28 03:16:58.332485 : Step: 28490/37000, accuracy: 0.998417, cls loss: 0.007983, bbox loss: 126.546017,Landmark loss :212.755249,L2 loss: 4.532290, Total Loss: 280.568531 ,lr:0.000004 
2022-02-28 03:17:21.241592 : Step: 29304/37000, accuracy: 0.995248, cls loss: 0.015166, bbox loss: 127.877673,Landmark loss :209.202376,L2 loss: 4.526284, Total Loss: 277.682662 ,lr:0.000004 
2022-02-28 03:18:11.353008 : Step: 31080/37000, accuracy: 1.000000, cls loss: 0.003783, bbox loss: 122.684713,Landmark loss :211.281671,L2 loss: 4.513871, Total Loss: 277.141682 ,lr:0.000003 
2022-02-28 03:18:36.374179 : Step: 31968/37000, accuracy: 0.999228, cls loss: 0.006247, bbox loss: 125.749456,Landmark loss :203.033001,L2 loss: 4.508435, Total Loss: 270.422412 ,lr:0.000003 
2022-02-28 03:18:53.070973 : Step: 32560/37000, accuracy: 0.999228, cls loss: 0.005472, bbox loss: 126.145421,Landmark loss :202.567080,L2 loss: 4.504384, Total Loss: 270.149646 ,lr:0.000003 
2022-02-28 03:19:39.959503 : Step: 34225/37000, accuracy: 0.999386, cls loss: 0.003764, bbox loss: 121.087729,Landmark loss :204.214882,L2 loss: 4.495407, Total Loss: 269.257917 ,lr:0.000002 
2022-02-28 03:19:49.444347 : Step: 34558/37000, accuracy: 0.998386, cls loss: 0.005028, bbox loss: 130.209386,Landmark loss :193.342264,L2 loss: 4.495078, Total Loss: 262.947062 ,lr:0.000002 
