2022-02-28 03:48:43.307786 : Step: 7252/370000, accuracy: 1.000000, cls loss: 0.001098, bbox loss: 65.736479,Landmark loss :131.381719,L2 loss: 4.870566, Total Loss: 169.121623 ,lr:0.000010 
2022-02-28 03:48:45.605307 : Step: 7326/370000, accuracy: 1.000000, cls loss: 0.001181, bbox loss: 65.357875,Landmark loss :131.263058,L2 loss: 4.874753, Total Loss: 168.817930 ,lr:0.000010 
2022-02-28 03:48:49.043452 : Step: 7437/370000, accuracy: 1.000000, cls loss: 0.001639, bbox loss: 65.809333,Landmark loss :126.761517,L2 loss: 4.884933, Total Loss: 164.552756 ,lr:0.000010 
2022-02-28 03:48:50.231183 : Step: 7474/370000, accuracy: 1.000000, cls loss: 0.000572, bbox loss: 64.959100,Landmark loss :125.344247,L2 loss: 4.886614, Total Loss: 162.710983 ,lr:0.000010 
2022-02-28 03:48:52.556119 : Step: 7548/370000, accuracy: 1.000000, cls loss: 0.002075, bbox loss: 65.524356,Landmark loss :123.544102,L2 loss: 4.890749, Total Loss: 161.199103 ,lr:0.000010 
2022-02-28 03:48:53.747235 : Step: 7585/370000, accuracy: 1.000000, cls loss: 0.000823, bbox loss: 64.843256,Landmark loss :119.783868,L2 loss: 4.892911, Total Loss: 157.099230 ,lr:0.000010 
2022-02-28 03:49:01.583756 : Step: 7844/370000, accuracy: 1.000000, cls loss: 0.002132, bbox loss: 60.608611,Landmark loss :121.036811,L2 loss: 4.903288, Total Loss: 156.246537 ,lr:0.000010 
2022-02-28 03:49:03.879716 : Step: 7918/370000, accuracy: 1.000000, cls loss: 0.001621, bbox loss: 58.628950,Landmark loss :116.994094,L2 loss: 4.905407, Total Loss: 151.215596 ,lr:0.000010 
2022-02-28 03:49:06.168654 : Step: 7992/370000, accuracy: 1.000000, cls loss: 0.000799, bbox loss: 61.632708,Landmark loss :114.622639,L2 loss: 4.906499, Total Loss: 150.346291 ,lr:0.000010 
2022-02-28 03:49:17.320564 : Step: 8362/370000, accuracy: 0.998398, cls loss: 0.005547, bbox loss: 62.433269,Landmark loss :111.844092,L2 loss: 4.908526, Total Loss: 147.974800 ,lr:0.000010 
