2022-03-03 18:02:43.956008 : Step: 6555/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.791238,Landmark loss :4.439225,L2 loss: 0.441403, Total Loss: 6.276347 ,lr:0.000001 
2022-03-03 18:06:04.144570 : Step: 6850/25000, accuracy: 1.000000, cls loss: 0.000100, bbox loss: 2.794779,Landmark loss :4.434462,L2 loss: 0.441447, Total Loss: 6.273398 ,lr:0.000001 
2022-03-03 18:10:08.759629 : Step: 7210/25000, accuracy: 1.000000, cls loss: 0.000100, bbox loss: 2.783388,Landmark loss :4.436733,L2 loss: 0.441500, Total Loss: 6.270026 ,lr:0.000001 
2022-03-03 18:13:28.835234 : Step: 7505/25000, accuracy: 1.000000, cls loss: 0.000100, bbox loss: 2.782900,Landmark loss :4.435293,L2 loss: 0.441543, Total Loss: 6.268385 ,lr:0.000001 
2022-03-03 18:16:49.696484 : Step: 7800/25000, accuracy: 1.000000, cls loss: 0.000100, bbox loss: 2.782656,Landmark loss :4.435248,L2 loss: 0.441586, Total Loss: 6.268261 ,lr:0.000001 
2022-03-03 18:20:10.217412 : Step: 8095/25000, accuracy: 1.000000, cls loss: 0.000100, bbox loss: 2.780616,Landmark loss :4.432342,L2 loss: 0.441629, Total Loss: 6.264378 ,lr:0.000001 
2022-03-03 18:24:24.996643 : Step: 8470/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.791483,Landmark loss :4.426157,L2 loss: 0.441683, Total Loss: 6.263680 ,lr:0.000001 
2022-03-03 18:27:45.734577 : Step: 8765/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.787365,Landmark loss :4.422403,L2 loss: 0.441725, Total Loss: 6.257910 ,lr:0.000001 
2022-03-03 18:31:09.247744 : Step: 9060/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.781844,Landmark loss :4.421929,L2 loss: 0.441767, Total Loss: 6.254717 ,lr:0.000001 
2022-03-03 18:31:54.416463 : Step: 9125/25000, accuracy: 1.000000, cls loss: 0.000100, bbox loss: 2.777270,Landmark loss :4.423005,L2 loss: 0.441776, Total Loss: 6.253516 ,lr:0.000001 
2022-03-03 18:34:32.499754 : Step: 9355/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.781161,Landmark loss :4.420863,L2 loss: 0.441809, Total Loss: 6.253352 ,lr:0.000001 
2022-03-03 18:35:17.185796 : Step: 9420/25000, accuracy: 1.000000, cls loss: 0.000100, bbox loss: 2.775371,Landmark loss :4.421657,L2 loss: 0.441818, Total Loss: 6.251261 ,lr:0.000001 
2022-03-03 18:37:55.072911 : Step: 9650/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.777707,Landmark loss :4.412649,L2 loss: 0.441851, Total Loss: 6.243452 ,lr:0.000001 
2022-03-03 18:41:17.499382 : Step: 9945/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.781200,Landmark loss :4.409669,L2 loss: 0.441893, Total Loss: 6.242261 ,lr:0.000001 
2022-03-03 18:42:02.146615 : Step: 10010/25000, accuracy: 1.000000, cls loss: 0.000100, bbox loss: 2.771760,Landmark loss :4.413159,L2 loss: 0.441902, Total Loss: 6.241041 ,lr:0.000001 
2022-03-03 18:45:24.771770 : Step: 10305/25000, accuracy: 1.000000, cls loss: 0.000100, bbox loss: 2.769782,Landmark loss :4.409510,L2 loss: 0.441943, Total Loss: 6.236444 ,lr:0.000001 
2022-03-03 18:48:46.897216 : Step: 10600/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.769356,Landmark loss :4.408757,L2 loss: 0.441985, Total Loss: 6.235519 ,lr:0.000001 
2022-03-03 18:52:09.083056 : Step: 10895/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.769139,Landmark loss :4.408727,L2 loss: 0.442026, Total Loss: 6.235422 ,lr:0.000001 
2022-03-03 18:55:31.660808 : Step: 11190/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.767127,Landmark loss :4.405833,L2 loss: 0.442067, Total Loss: 6.231563 ,lr:0.000001 
2022-03-03 18:58:54.522233 : Step: 11485/25000, accuracy: 1.000000, cls loss: 0.000100, bbox loss: 2.761139,Landmark loss :4.408438,L2 loss: 0.442109, Total Loss: 6.231216 ,lr:0.000001 
2022-03-03 18:59:49.779105 : Step: 11565/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.778055,Landmark loss :4.399832,L2 loss: 0.442120, Total Loss: 6.231078 ,lr:0.000001 
2022-03-03 19:03:12.650059 : Step: 11860/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.773902,Landmark loss :4.396075,L2 loss: 0.442161, Total Loss: 6.225286 ,lr:0.000001 
2022-03-03 19:06:35.292025 : Step: 12155/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.768455,Landmark loss :4.395640,L2 loss: 0.442202, Total Loss: 6.222169 ,lr:0.000001 
2022-03-03 19:07:20.042565 : Step: 12220/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.763950,Landmark loss :4.395813,L2 loss: 0.442211, Total Loss: 6.220098 ,lr:0.000001 
2022-03-03 19:10:42.598059 : Step: 12515/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.761871,Landmark loss :4.395407,L2 loss: 0.442252, Total Loss: 6.218693 ,lr:0.000001 
2022-03-03 19:13:20.402180 : Step: 12745/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.764403,Landmark loss :4.386432,L2 loss: 0.442284, Total Loss: 6.211016 ,lr:0.000001 
2022-03-03 19:16:42.821522 : Step: 13040/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.767892,Landmark loss :4.381814,L2 loss: 0.442324, Total Loss: 6.208184 ,lr:0.000001 
2022-03-03 19:20:50.285217 : Step: 13400/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.756571,Landmark loss :4.383780,L2 loss: 0.442374, Total Loss: 6.204539 ,lr:0.000001 
2022-03-03 19:24:13.706110 : Step: 13695/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.756060,Landmark loss :4.382554,L2 loss: 0.442414, Total Loss: 6.203097 ,lr:0.000001 
2022-03-03 19:27:36.311314 : Step: 13990/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.755849,Landmark loss :4.382519,L2 loss: 0.442455, Total Loss: 6.202997 ,lr:0.000001 
2022-03-03 19:30:59.242638 : Step: 14285/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.753859,Landmark loss :4.379648,L2 loss: 0.442495, Total Loss: 6.199172 ,lr:0.000001 
2022-03-03 19:34:22.726084 : Step: 14580/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.747954,Landmark loss :4.382286,L2 loss: 0.442535, Total Loss: 6.198897 ,lr:0.000001 
2022-03-03 19:38:40.822519 : Step: 14955/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.760664,Landmark loss :4.370551,L2 loss: 0.442586, Total Loss: 6.193568 ,lr:0.000001 
2022-03-03 19:42:03.575760 : Step: 15250/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.755222,Landmark loss :4.369172,L2 loss: 0.442626, Total Loss: 6.189508 ,lr:0.000001 
2022-03-03 19:42:48.165186 : Step: 15315/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.750560,Landmark loss :4.370570,L2 loss: 0.442635, Total Loss: 6.188584 ,lr:0.000001 
2022-03-03 19:46:10.418539 : Step: 15610/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.748629,Landmark loss :4.369376,L2 loss: 0.442674, Total Loss: 6.186464 ,lr:0.000001 
2022-03-03 19:48:47.833829 : Step: 15840/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.751231,Landmark loss :4.360564,L2 loss: 0.442705, Total Loss: 6.178983 ,lr:0.000001 
2022-03-03 19:52:09.523346 : Step: 16135/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.754714,Landmark loss :4.355983,L2 loss: 0.442745, Total Loss: 6.176184 ,lr:0.000001 
2022-03-03 19:56:13.735049 : Step: 16495/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.743302,Landmark loss :4.357430,L2 loss: 0.442793, Total Loss: 6.171973 ,lr:0.000001 
2022-03-03 19:59:35.262701 : Step: 16790/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.742939,Landmark loss :4.356715,L2 loss: 0.442833, Total Loss: 6.171116 ,lr:0.000001 
2022-03-03 20:02:56.612979 : Step: 17085/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.742765,Landmark loss :4.356655,L2 loss: 0.442873, Total Loss: 6.171009 ,lr:0.000001 
2022-03-03 20:06:16.740146 : Step: 17380/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.742002,Landmark loss :4.353836,L2 loss: 0.442912, Total Loss: 6.167847 ,lr:0.000001 
2022-03-03 20:09:36.950145 : Step: 17675/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.734996,Landmark loss :4.356487,L2 loss: 0.442951, Total Loss: 6.167036 ,lr:0.000001 
2022-03-03 20:13:51.377866 : Step: 18050/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.747649,Landmark loss :4.344577,L2 loss: 0.443001, Total Loss: 6.161502 ,lr:0.000001 
2022-03-03 20:17:11.443097 : Step: 18345/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.742250,Landmark loss :4.343767,L2 loss: 0.443040, Total Loss: 6.158032 ,lr:0.000001 
2022-03-03 20:17:55.569935 : Step: 18410/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.737561,Landmark loss :4.344854,L2 loss: 0.443049, Total Loss: 6.156782 ,lr:0.000001 
2022-03-03 20:21:15.870854 : Step: 18705/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.735665,Landmark loss :4.343697,L2 loss: 0.443088, Total Loss: 6.154716 ,lr:0.000001 
2022-03-03 20:23:52.102031 : Step: 18935/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.738124,Landmark loss :4.334674,L2 loss: 0.443118, Total Loss: 6.146954 ,lr:0.000001 
2022-03-03 20:27:12.222472 : Step: 19230/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.741841,Landmark loss :4.330457,L2 loss: 0.443157, Total Loss: 6.144633 ,lr:0.000001 
2022-03-03 20:31:16.425663 : Step: 19590/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.730537,Landmark loss :4.332397,L2 loss: 0.443205, Total Loss: 6.140970 ,lr:0.000001 
2022-03-03 20:34:36.794310 : Step: 19885/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.730167,Landmark loss :4.330993,L2 loss: 0.443244, Total Loss: 6.139419 ,lr:0.000001 
2022-03-03 20:37:57.078566 : Step: 20180/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.730047,Landmark loss :4.330948,L2 loss: 0.443283, Total Loss: 6.139353 ,lr:0.000001 
2022-03-03 20:41:17.645633 : Step: 20475/25000, accuracy: 1.000000, cls loss: 0.000098, bbox loss: 2.728086,Landmark loss :4.328174,L2 loss: 0.443322, Total Loss: 6.135637 ,lr:0.000001 
2022-03-03 20:44:37.961574 : Step: 20770/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.722492,Landmark loss :4.330783,L2 loss: 0.443360, Total Loss: 6.135487 ,lr:0.000001 
2022-03-03 20:48:52.560062 : Step: 21145/25000, accuracy: 1.000000, cls loss: 0.000098, bbox loss: 2.735064,Landmark loss :4.319100,L2 loss: 0.443410, Total Loss: 6.130140 ,lr:0.000001 
2022-03-03 20:52:12.776873 : Step: 21440/25000, accuracy: 1.000000, cls loss: 0.000098, bbox loss: 2.729708,Landmark loss :4.318111,L2 loss: 0.443448, Total Loss: 6.126511 ,lr:0.000001 
2022-03-03 20:52:56.983422 : Step: 21505/25000, accuracy: 1.000000, cls loss: 0.000098, bbox loss: 2.725031,Landmark loss :4.319190,L2 loss: 0.443457, Total Loss: 6.125261 ,lr:0.000001 
2022-03-03 20:56:17.430138 : Step: 21800/25000, accuracy: 1.000000, cls loss: 0.000098, bbox loss: 2.723158,Landmark loss :4.318037,L2 loss: 0.443495, Total Loss: 6.123210 ,lr:0.000001 
2022-03-03 20:58:53.730174 : Step: 22030/25000, accuracy: 1.000000, cls loss: 0.000098, bbox loss: 2.725864,Landmark loss :4.309598,L2 loss: 0.443525, Total Loss: 6.116154 ,lr:0.000001 
2022-03-03 21:02:14.404166 : Step: 22325/25000, accuracy: 1.000000, cls loss: 0.000098, bbox loss: 2.729343,Landmark loss :4.305096,L2 loss: 0.443564, Total Loss: 6.113429 ,lr:0.000001 
2022-03-03 21:02:58.604348 : Step: 22390/25000, accuracy: 1.000000, cls loss: 0.000098, bbox loss: 2.719941,Landmark loss :4.309725,L2 loss: 0.443572, Total Loss: 6.113366 ,lr:0.000001 
2022-03-03 21:06:18.971118 : Step: 22685/25000, accuracy: 1.000000, cls loss: 0.000098, bbox loss: 2.718177,Landmark loss :4.306852,L2 loss: 0.443611, Total Loss: 6.109649 ,lr:0.000001 
2022-03-03 21:09:39.405006 : Step: 22980/25000, accuracy: 1.000000, cls loss: 0.000098, bbox loss: 2.717683,Landmark loss :4.305553,L2 loss: 0.443649, Total Loss: 6.108142 ,lr:0.000001 
2022-03-03 21:13:00.029964 : Step: 23275/25000, accuracy: 1.000000, cls loss: 0.000098, bbox loss: 2.717324,Landmark loss :4.305094,L2 loss: 0.443687, Total Loss: 6.107541 ,lr:0.000001 
2022-03-03 21:16:20.796757 : Step: 23570/25000, accuracy: 1.000000, cls loss: 0.000098, bbox loss: 2.715644,Landmark loss :4.302767,L2 loss: 0.443725, Total Loss: 6.104411 ,lr:0.000001 
2022-03-03 21:19:41.495368 : Step: 23865/25000, accuracy: 1.000000, cls loss: 0.000098, bbox loss: 2.710024,Landmark loss :4.305515,L2 loss: 0.443763, Total Loss: 6.104388 ,lr:0.000001 
2022-03-03 21:23:56.480694 : Step: 24240/25000, accuracy: 1.000000, cls loss: 0.000097, bbox loss: 2.722469,Landmark loss :4.294218,L2 loss: 0.443811, Total Loss: 6.099361 ,lr:0.000001 
2022-03-03 21:27:16.681213 : Step: 24535/25000, accuracy: 1.000000, cls loss: 0.000097, bbox loss: 2.717140,Landmark loss :4.293093,L2 loss: 0.443849, Total Loss: 6.095609 ,lr:0.000001 
2022-03-03 21:28:00.858211 : Step: 24600/25000, accuracy: 1.000000, cls loss: 0.000097, bbox loss: 2.712457,Landmark loss :4.293974,L2 loss: 0.443857, Total Loss: 6.094157 ,lr:0.000001 
2022-03-03 21:31:21.304657 : Step: 24895/25000, accuracy: 1.000000, cls loss: 0.000097, bbox loss: 2.710593,Landmark loss :4.292894,L2 loss: 0.443895, Total Loss: 6.092182 ,lr:0.000001 
