2022-03-03 02:03:31.388623 : Step: 150/75000, accuracy: 1.000000, cls loss: 0.006669, bbox loss: 18.365247,Landmark loss :66.556992,L2 loss: 4.939478, Total Loss: 80.685763 ,lr:0.000010 
2022-03-03 02:03:34.984141 : Step: 155/75000, accuracy: 1.000000, cls loss: 0.006574, bbox loss: 18.080992,Landmark loss :65.968720,L2 loss: 4.939221, Total Loss: 79.955011 ,lr:0.000010 
2022-03-03 02:03:49.014779 : Step: 175/75000, accuracy: 1.000000, cls loss: 0.006160, bbox loss: 17.958804,Landmark loss :65.576282,L2 loss: 4.938142, Total Loss: 79.499985 ,lr:0.000010 
2022-03-03 02:03:53.097711 : Step: 180/75000, accuracy: 1.000000, cls loss: 0.006060, bbox loss: 17.836223,Landmark loss :65.377460,L2 loss: 4.937885, Total Loss: 79.239516 ,lr:0.000010 
2022-03-03 02:03:58.857555 : Step: 185/75000, accuracy: 1.000000, cls loss: 0.005963, bbox loss: 17.788999,Landmark loss :65.193121,L2 loss: 4.937649, Total Loss: 79.031233 ,lr:0.000010 
2022-03-03 02:04:07.507267 : Step: 195/75000, accuracy: 1.000000, cls loss: 0.005793, bbox loss: 17.818901,Landmark loss :64.828770,L2 loss: 4.937210, Total Loss: 78.681223 ,lr:0.000010 
2022-03-03 02:04:14.548667 : Step: 205/75000, accuracy: 1.000000, cls loss: 0.005633, bbox loss: 17.647327,Landmark loss :64.792178,L2 loss: 4.936819, Total Loss: 78.558294 ,lr:0.000010 
2022-03-03 02:04:18.106077 : Step: 210/75000, accuracy: 1.000000, cls loss: 0.005560, bbox loss: 17.606283,Landmark loss :64.692829,L2 loss: 4.936633, Total Loss: 78.438164 ,lr:0.000010 
2022-03-03 02:04:21.703965 : Step: 215/75000, accuracy: 1.000000, cls loss: 0.005482, bbox loss: 17.492660,Landmark loss :64.619335,L2 loss: 4.936465, Total Loss: 78.307611 ,lr:0.000010 
2022-03-03 02:04:25.233959 : Step: 220/75000, accuracy: 1.000000, cls loss: 0.005423, bbox loss: 17.463108,Landmark loss :64.223856,L2 loss: 4.936298, Total Loss: 77.897131 ,lr:0.000010 
2022-03-03 02:04:32.358718 : Step: 230/75000, accuracy: 1.000000, cls loss: 0.005283, bbox loss: 17.526472,Landmark loss :63.843306,L2 loss: 4.935997, Total Loss: 77.547823 ,lr:0.000010 
2022-03-03 02:04:53.248089 : Step: 260/75000, accuracy: 1.000000, cls loss: 0.004942, bbox loss: 17.366631,Landmark loss :63.875716,L2 loss: 4.935152, Total Loss: 77.499125 ,lr:0.000010 
2022-03-03 02:04:56.780549 : Step: 265/75000, accuracy: 1.000000, cls loss: 0.004881, bbox loss: 17.314080,Landmark loss :63.367365,L2 loss: 4.935023, Total Loss: 76.964309 ,lr:0.000010 
2022-03-03 02:05:07.406571 : Step: 280/75000, accuracy: 1.000000, cls loss: 0.004733, bbox loss: 17.224572,Landmark loss :63.212029,L2 loss: 4.934632, Total Loss: 76.763680 ,lr:0.000010 
2022-03-03 02:05:11.119710 : Step: 285/75000, accuracy: 1.000000, cls loss: 0.004689, bbox loss: 17.235231,Landmark loss :63.124232,L2 loss: 4.934505, Total Loss: 76.681042 ,lr:0.000010 
2022-03-03 02:05:22.386363 : Step: 300/75000, accuracy: 1.000000, cls loss: 0.004541, bbox loss: 17.189156,Landmark loss :62.809773,L2 loss: 4.934119, Total Loss: 76.343012 ,lr:0.000010 
2022-03-03 02:05:44.490942 : Step: 330/75000, accuracy: 1.000000, cls loss: 0.004291, bbox loss: 17.119598,Landmark loss :62.646429,L2 loss: 4.933334, Total Loss: 76.143853 ,lr:0.000010 
2022-03-03 02:06:08.998926 : Step: 365/75000, accuracy: 1.000000, cls loss: 0.004022, bbox loss: 17.045514,Landmark loss :62.399854,L2 loss: 4.932395, Total Loss: 75.859028 ,lr:0.000010 
2022-03-03 02:06:16.083112 : Step: 375/75000, accuracy: 1.000000, cls loss: 0.003951, bbox loss: 17.250027,Landmark loss :62.211177,L2 loss: 4.932126, Total Loss: 75.772268 ,lr:0.000010 
2022-03-03 02:06:40.387379 : Step: 410/75000, accuracy: 1.000000, cls loss: 0.003701, bbox loss: 17.134220,Landmark loss :62.215665,L2 loss: 4.931176, Total Loss: 75.717651 ,lr:0.000010 
2022-03-03 02:06:43.925939 : Step: 415/75000, accuracy: 1.000000, cls loss: 0.003667, bbox loss: 17.105978,Landmark loss :61.975701,L2 loss: 4.931038, Total Loss: 75.463395 ,lr:0.000010 
2022-03-03 02:06:50.972213 : Step: 425/75000, accuracy: 1.000000, cls loss: 0.003606, bbox loss: 17.056454,Landmark loss :61.990513,L2 loss: 4.930762, Total Loss: 75.453108 ,lr:0.000010 
2022-03-03 02:07:04.969930 : Step: 445/75000, accuracy: 1.000000, cls loss: 0.003478, bbox loss: 17.078624,Landmark loss :61.929325,L2 loss: 4.930220, Total Loss: 75.402335 ,lr:0.000010 
2022-03-03 02:07:08.795761 : Step: 450/75000, accuracy: 1.000000, cls loss: 0.003449, bbox loss: 16.912941,Landmark loss :61.685334,L2 loss: 4.930083, Total Loss: 75.075337 ,lr:0.000010 
2022-03-03 02:07:54.658494 : Step: 515/75000, accuracy: 1.000000, cls loss: 0.003121, bbox loss: 16.958283,Landmark loss :61.382645,L2 loss: 4.928373, Total Loss: 74.793281 ,lr:0.000010 
2022-03-03 02:08:01.671711 : Step: 525/75000, accuracy: 1.000000, cls loss: 0.003072, bbox loss: 17.047104,Landmark loss :61.206931,L2 loss: 4.928131, Total Loss: 74.661686 ,lr:0.000010 
2022-03-03 02:08:26.136125 : Step: 560/75000, accuracy: 1.000000, cls loss: 0.002915, bbox loss: 17.007062,Landmark loss :61.015841,L2 loss: 4.927298, Total Loss: 74.449584 ,lr:0.000010 
2022-03-03 02:08:36.808615 : Step: 575/75000, accuracy: 1.000000, cls loss: 0.002858, bbox loss: 16.932143,Landmark loss :60.971227,L2 loss: 4.926962, Total Loss: 74.367118 ,lr:0.000010 
2022-03-03 02:08:50.873273 : Step: 595/75000, accuracy: 1.000000, cls loss: 0.002778, bbox loss: 16.921501,Landmark loss :60.626948,L2 loss: 4.926536, Total Loss: 74.017013 ,lr:0.000010 
2022-03-03 02:09:11.734376 : Step: 625/75000, accuracy: 1.000000, cls loss: 0.002679, bbox loss: 16.898556,Landmark loss :60.557155,L2 loss: 4.925949, Total Loss: 73.935060 ,lr:0.000010 
2022-03-03 02:09:29.178696 : Step: 650/75000, accuracy: 1.000000, cls loss: 0.002603, bbox loss: 16.982764,Landmark loss :60.485410,L2 loss: 4.925510, Total Loss: 73.904904 ,lr:0.000010 
