2022-02-28 03:28:14.648798 : Step: 37/37000, accuracy: 0.182870, cls loss: 6.050884, bbox loss: 2051.070692,Landmark loss :3713.142447,L2 loss: 4.998879, Total Loss: 4749.727556 ,lr:0.000010 
2022-02-28 03:28:15.836166 : Step: 74/37000, accuracy: 0.790716, cls loss: 1.109563, bbox loss: 273.396840,Landmark loss :518.186363,L2 loss: 4.998086, Total Loss: 660.992432 ,lr:0.000010 
2022-02-28 03:28:16.983234 : Step: 111/37000, accuracy: 0.897268, cls loss: 0.399774, bbox loss: 150.855549,Landmark loss :275.237755,L2 loss: 4.980238, Total Loss: 356.045542 ,lr:0.000010 
2022-02-28 03:28:18.114319 : Step: 148/37000, accuracy: 0.934136, cls loss: 0.251311, bbox loss: 136.614805,Landmark loss :230.623727,L2 loss: 4.972886, Total Loss: 304.155326 ,lr:0.000010 
2022-02-28 03:28:19.253759 : Step: 185/37000, accuracy: 0.965884, cls loss: 0.140502, bbox loss: 117.776884,Landmark loss :207.039058,L2 loss: 4.968131, Total Loss: 271.036133 ,lr:0.000010 
2022-02-28 03:28:21.448782 : Step: 259/37000, accuracy: 0.985205, cls loss: 0.069656, bbox loss: 105.769675,Landmark loss :193.508771,L2 loss: 4.961886, Total Loss: 251.425151 ,lr:0.000010 
2022-02-28 03:28:23.683087 : Step: 333/37000, accuracy: 0.993380, cls loss: 0.035855, bbox loss: 104.971827,Landmark loss :184.970924,L2 loss: 4.960700, Total Loss: 242.453392 ,lr:0.000010 
2022-02-28 03:28:24.842578 : Step: 370/37000, accuracy: 0.990012, cls loss: 0.041006, bbox loss: 97.269360,Landmark loss :176.846085,L2 loss: 4.961364, Total Loss: 230.483136 ,lr:0.000010 
2022-02-28 03:28:27.089127 : Step: 444/37000, accuracy: 0.991536, cls loss: 0.041344, bbox loss: 94.439631,Landmark loss :173.407144,L2 loss: 4.960337, Total Loss: 225.628642 ,lr:0.000010 
2022-02-28 03:28:28.235032 : Step: 481/37000, accuracy: 0.994588, cls loss: 0.022548, bbox loss: 93.794608,Landmark loss :172.105172,L2 loss: 4.959718, Total Loss: 223.984742 ,lr:0.000010 
2022-02-28 03:28:30.445876 : Step: 555/37000, accuracy: 0.996792, cls loss: 0.013409, bbox loss: 90.081219,Landmark loss :167.953874,L2 loss: 4.958830, Total Loss: 217.966723 ,lr:0.000010 
2022-02-28 03:28:33.728577 : Step: 666/37000, accuracy: 0.998227, cls loss: 0.008812, bbox loss: 87.412371,Landmark loss :163.924481,L2 loss: 4.957539, Total Loss: 212.597018 ,lr:0.000010 
2022-02-28 03:28:38.097058 : Step: 814/37000, accuracy: 0.995862, cls loss: 0.017429, bbox loss: 82.256185,Landmark loss :164.669519,L2 loss: 4.957356, Total Loss: 210.772396 ,lr:0.000010 
2022-02-28 03:28:39.267721 : Step: 851/37000, accuracy: 0.999068, cls loss: 0.007533, bbox loss: 86.304515,Landmark loss :157.534473,L2 loss: 4.956913, Total Loss: 205.651176 ,lr:0.000010 
2022-02-28 03:28:41.462415 : Step: 925/37000, accuracy: 0.998163, cls loss: 0.011079, bbox loss: 83.589868,Landmark loss :155.862736,L2 loss: 4.956997, Total Loss: 202.625746 ,lr:0.000010 
2022-02-28 03:28:50.041566 : Step: 1221/37000, accuracy: 0.998089, cls loss: 0.011221, bbox loss: 79.234800,Landmark loss :153.353078,L2 loss: 4.957328, Total Loss: 197.939027 ,lr:0.000010 
2022-02-28 03:28:56.397357 : Step: 1443/37000, accuracy: 0.996277, cls loss: 0.012199, bbox loss: 76.236940,Landmark loss :145.389928,L2 loss: 4.955919, Total Loss: 188.476516 ,lr:0.000010 
2022-02-28 03:29:30.648235 : Step: 2590/37000, accuracy: 0.999205, cls loss: 0.002668, bbox loss: 70.808678,Landmark loss :147.442002,L2 loss: 4.947715, Total Loss: 187.796724 ,lr:0.000010 
2022-02-28 03:29:46.574392 : Step: 3145/37000, accuracy: 0.999155, cls loss: 0.003509, bbox loss: 77.327760,Landmark loss :142.950857,L2 loss: 4.940018, Total Loss: 186.558264 ,lr:0.000010 
2022-02-28 03:29:53.098930 : Step: 3367/37000, accuracy: 1.000000, cls loss: 0.002041, bbox loss: 71.280621,Landmark loss :143.403396,L2 loss: 4.938588, Total Loss: 183.984336 ,lr:0.000010 
2022-02-28 03:30:08.139076 : Step: 3885/37000, accuracy: 1.000000, cls loss: 0.001774, bbox loss: 72.845407,Landmark loss :139.982404,L2 loss: 4.930966, Total Loss: 181.337846 ,lr:0.000009 
2022-02-28 03:30:24.000959 : Step: 4440/37000, accuracy: 1.000000, cls loss: 0.001241, bbox loss: 74.066764,Landmark loss :137.873622,L2 loss: 4.925418, Total Loss: 179.833663 ,lr:0.000009 
2022-02-28 03:30:32.562060 : Step: 4736/37000, accuracy: 0.999155, cls loss: 0.002160, bbox loss: 69.960303,Landmark loss :138.085823,L2 loss: 4.924922, Total Loss: 177.993056 ,lr:0.000009 
2022-02-28 03:30:36.860854 : Step: 4884/37000, accuracy: 1.000000, cls loss: 0.000949, bbox loss: 72.852878,Landmark loss :136.074438,L2 loss: 4.927756, Total Loss: 177.429581 ,lr:0.000009 
