2022-03-02 10:58:54.122555 : Step: 150/25000, accuracy: 1.000000, cls loss: 0.000203, bbox loss: 116.377156,Landmark loss :250.532050,L2 loss: 1.489018, Total Loss: 310.209849 ,lr:0.001000 
2022-03-02 10:59:01.399776 : Step: 160/25000, accuracy: 1.000000, cls loss: 0.000195, bbox loss: 115.499083,Landmark loss :248.425824,L2 loss: 1.489188, Total Loss: 307.664749 ,lr:0.001000 
2022-03-02 10:59:05.117317 : Step: 165/25000, accuracy: 1.000000, cls loss: 0.000195, bbox loss: 115.611615,Landmark loss :247.661139,L2 loss: 1.489326, Total Loss: 306.956467 ,lr:0.001000 
2022-03-02 10:59:12.337583 : Step: 175/25000, accuracy: 1.000000, cls loss: 0.000178, bbox loss: 112.943504,Landmark loss :246.506537,L2 loss: 1.489731, Total Loss: 304.468199 ,lr:0.001000 
2022-03-02 10:59:15.982252 : Step: 180/25000, accuracy: 1.000000, cls loss: 0.000180, bbox loss: 113.675204,Landmark loss :245.832056,L2 loss: 1.489975, Total Loss: 304.159813 ,lr:0.001000 
2022-03-02 10:59:19.664848 : Step: 185/25000, accuracy: 1.000000, cls loss: 0.000173, bbox loss: 112.182770,Landmark loss :244.935168,L2 loss: 1.490215, Total Loss: 302.516941 ,lr:0.001000 
2022-03-02 10:59:23.347254 : Step: 190/25000, accuracy: 1.000000, cls loss: 0.000168, bbox loss: 111.753407,Landmark loss :243.754318,L2 loss: 1.490471, Total Loss: 301.121661 ,lr:0.001000 
2022-03-02 10:59:26.993777 : Step: 195/25000, accuracy: 1.000000, cls loss: 0.000165, bbox loss: 111.199315,Landmark loss :243.871799,L2 loss: 1.490791, Total Loss: 300.962413 ,lr:0.001000 
2022-03-02 10:59:30.656116 : Step: 200/25000, accuracy: 1.000000, cls loss: 0.000161, bbox loss: 110.540886,Landmark loss :240.434131,L2 loss: 1.491062, Total Loss: 297.195797 ,lr:0.001000 
2022-03-02 10:59:34.330342 : Step: 205/25000, accuracy: 1.000000, cls loss: 0.000161, bbox loss: 111.027573,Landmark loss :239.797455,L2 loss: 1.491364, Total Loss: 296.802766 ,lr:0.001000 
2022-03-02 10:59:37.975263 : Step: 210/25000, accuracy: 1.000000, cls loss: 0.000160, bbox loss: 109.947253,Landmark loss :238.651138,L2 loss: 1.491701, Total Loss: 295.116626 ,lr:0.001000 
2022-03-02 10:59:41.638560 : Step: 215/25000, accuracy: 1.000000, cls loss: 0.000152, bbox loss: 109.084546,Landmark loss :236.583606,L2 loss: 1.492092, Total Loss: 292.618123 ,lr:0.001000 
2022-03-02 10:59:48.875791 : Step: 225/25000, accuracy: 1.000000, cls loss: 0.000144, bbox loss: 108.206679,Landmark loss :234.537860,L2 loss: 1.492791, Total Loss: 290.134134 ,lr:0.001000 
2022-03-02 10:59:52.530456 : Step: 230/25000, accuracy: 1.000000, cls loss: 0.000140, bbox loss: 106.624211,Landmark loss :235.130927,L2 loss: 1.493156, Total Loss: 289.936329 ,lr:0.001000 
2022-03-02 10:59:56.209747 : Step: 235/25000, accuracy: 1.000000, cls loss: 0.000138, bbox loss: 106.649530,Landmark loss :234.284409,L2 loss: 1.493513, Total Loss: 289.102824 ,lr:0.001000 
2022-03-02 10:59:59.857542 : Step: 240/25000, accuracy: 1.000000, cls loss: 0.000140, bbox loss: 107.102481,Landmark loss :234.018802,L2 loss: 1.493918, Total Loss: 289.064100 ,lr:0.001000 
2022-03-02 11:00:03.540250 : Step: 245/25000, accuracy: 1.000000, cls loss: 0.000134, bbox loss: 105.990616,Landmark loss :233.880725,L2 loss: 1.494297, Total Loss: 288.370464 ,lr:0.001000 
2022-03-02 11:00:07.242757 : Step: 250/25000, accuracy: 1.000000, cls loss: 0.000139, bbox loss: 105.649060,Landmark loss :231.216391,L2 loss: 1.494704, Total Loss: 285.535764 ,lr:0.001000 
2022-03-02 11:00:10.967830 : Step: 255/25000, accuracy: 1.000000, cls loss: 0.000131, bbox loss: 105.576523,Landmark loss :230.012479,L2 loss: 1.495126, Total Loss: 284.295997 ,lr:0.001000 
2022-03-02 11:00:14.735383 : Step: 260/25000, accuracy: 1.000000, cls loss: 0.000126, bbox loss: 104.644733,Landmark loss :227.731134,L2 loss: 1.495487, Total Loss: 281.549114 ,lr:0.001000 
2022-03-02 11:00:21.942531 : Step: 270/25000, accuracy: 1.000000, cls loss: 0.000125, bbox loss: 103.657845,Landmark loss :226.271735,L2 loss: 1.496322, Total Loss: 279.597103 ,lr:0.001000 
2022-03-02 11:00:32.828856 : Step: 285/25000, accuracy: 1.000000, cls loss: 0.000116, bbox loss: 102.934518,Landmark loss :224.017838,L2 loss: 1.497592, Total Loss: 276.982805 ,lr:0.001000 
2022-03-02 11:00:36.522912 : Step: 290/25000, accuracy: 1.000000, cls loss: 0.000113, bbox loss: 101.744945,Landmark loss :223.174597,L2 loss: 1.498039, Total Loss: 275.545221 ,lr:0.001000 
2022-03-02 11:00:40.124376 : Step: 295/25000, accuracy: 1.000000, cls loss: 0.000113, bbox loss: 101.515395,Landmark loss :222.513983,L2 loss: 1.498424, Total Loss: 274.770218 ,lr:0.001000 
2022-03-02 11:00:47.318029 : Step: 305/25000, accuracy: 1.000000, cls loss: 0.000110, bbox loss: 100.741344,Landmark loss :220.712238,L2 loss: 1.499294, Total Loss: 272.582313 ,lr:0.001000 
2022-03-02 11:00:50.980863 : Step: 310/25000, accuracy: 1.000000, cls loss: 0.000109, bbox loss: 100.681471,Landmark loss :220.187939,L2 loss: 1.499730, Total Loss: 272.028513 ,lr:0.001000 
2022-03-02 11:00:58.150427 : Step: 320/25000, accuracy: 1.000000, cls loss: 0.000102, bbox loss: 99.125089,Landmark loss :219.186679,L2 loss: 1.500576, Total Loss: 270.249901 ,lr:0.001000 
2022-03-02 11:01:05.265575 : Step: 330/25000, accuracy: 1.000000, cls loss: 0.000101, bbox loss: 98.616890,Landmark loss :218.893091,L2 loss: 1.501499, Total Loss: 269.703136 ,lr:0.001000 
2022-03-02 11:01:08.889409 : Step: 335/25000, accuracy: 1.000000, cls loss: 0.000097, bbox loss: 98.000659,Landmark loss :217.365341,L2 loss: 1.501981, Total Loss: 267.867749 ,lr:0.001000 
2022-03-02 11:01:16.062599 : Step: 345/25000, accuracy: 1.000000, cls loss: 0.000094, bbox loss: 96.855006,Landmark loss :215.963586,L2 loss: 1.502919, Total Loss: 265.894102 ,lr:0.001000 
2022-03-02 11:01:19.716240 : Step: 350/25000, accuracy: 1.000000, cls loss: 0.000094, bbox loss: 97.478735,Landmark loss :213.733408,L2 loss: 1.503375, Total Loss: 263.976244 ,lr:0.001000 
2022-03-02 11:01:26.864153 : Step: 360/25000, accuracy: 1.000000, cls loss: 0.000090, bbox loss: 95.847601,Landmark loss :211.608081,L2 loss: 1.504390, Total Loss: 261.036362 ,lr:0.001000 
2022-03-02 11:01:30.480803 : Step: 365/25000, accuracy: 1.000000, cls loss: 0.000090, bbox loss: 95.584532,Landmark loss :211.564703,L2 loss: 1.504894, Total Loss: 260.861953 ,lr:0.001000 
2022-03-02 11:01:34.093759 : Step: 370/25000, accuracy: 1.000000, cls loss: 0.000085, bbox loss: 94.943439,Landmark loss :211.278867,L2 loss: 1.505427, Total Loss: 260.256098 ,lr:0.001000 
2022-03-02 11:01:37.765452 : Step: 375/25000, accuracy: 1.000000, cls loss: 0.000084, bbox loss: 94.313861,Landmark loss :209.626056,L2 loss: 1.505926, Total Loss: 258.288997 ,lr:0.001000 
2022-03-02 11:01:44.919736 : Step: 385/25000, accuracy: 1.000000, cls loss: 0.000083, bbox loss: 93.739348,Landmark loss :209.591663,L2 loss: 1.507034, Total Loss: 257.968454 ,lr:0.001000 
2022-03-02 11:01:48.601174 : Step: 390/25000, accuracy: 1.000000, cls loss: 0.000081, bbox loss: 93.195844,Landmark loss :208.232141,L2 loss: 1.507546, Total Loss: 256.337690 ,lr:0.001000 
2022-03-02 11:01:52.245788 : Step: 395/25000, accuracy: 1.000000, cls loss: 0.000082, bbox loss: 93.228603,Landmark loss :207.615698,L2 loss: 1.508143, Total Loss: 255.738225 ,lr:0.001000 
2022-03-02 11:01:55.900599 : Step: 400/25000, accuracy: 1.000000, cls loss: 0.000080, bbox loss: 92.339188,Landmark loss :207.075323,L2 loss: 1.508741, Total Loss: 254.753738 ,lr:0.001000 
2022-03-02 11:01:59.532299 : Step: 405/25000, accuracy: 1.000000, cls loss: 0.000077, bbox loss: 91.833376,Landmark loss :203.071036,L2 loss: 1.509327, Total Loss: 250.497127 ,lr:0.001000 
2022-03-02 11:02:06.591969 : Step: 415/25000, accuracy: 1.000000, cls loss: 0.000075, bbox loss: 90.809302,Landmark loss :202.250858,L2 loss: 1.510577, Total Loss: 249.166161 ,lr:0.001000 
2022-03-02 11:02:10.290850 : Step: 420/25000, accuracy: 1.000000, cls loss: 0.000072, bbox loss: 90.652809,Landmark loss :201.932059,L2 loss: 1.511269, Total Loss: 248.769805 ,lr:0.001000 
2022-03-02 11:02:13.946220 : Step: 425/25000, accuracy: 1.000000, cls loss: 0.000072, bbox loss: 89.614095,Landmark loss :201.289401,L2 loss: 1.511889, Total Loss: 247.608409 ,lr:0.001000 
2022-03-02 11:02:21.079382 : Step: 435/25000, accuracy: 1.000000, cls loss: 0.000069, bbox loss: 88.727080,Landmark loss :199.115485,L2 loss: 1.513245, Total Loss: 244.992338 ,lr:0.001000 
2022-03-02 11:02:24.711672 : Step: 440/25000, accuracy: 1.000000, cls loss: 0.000068, bbox loss: 88.573073,Landmark loss :197.967053,L2 loss: 1.513960, Total Loss: 243.767618 ,lr:0.001000 
2022-03-02 11:02:28.331344 : Step: 445/25000, accuracy: 1.000000, cls loss: 0.000066, bbox loss: 87.807082,Landmark loss :197.016165,L2 loss: 1.514699, Total Loss: 242.434471 ,lr:0.001000 
2022-03-02 11:02:35.449740 : Step: 455/25000, accuracy: 1.000000, cls loss: 0.000066, bbox loss: 87.434131,Landmark loss :195.105838,L2 loss: 1.516165, Total Loss: 240.339134 ,lr:0.001000 
2022-03-02 11:02:39.054285 : Step: 460/25000, accuracy: 1.000000, cls loss: 0.000065, bbox loss: 87.229478,Landmark loss :194.710217,L2 loss: 1.516886, Total Loss: 239.841907 ,lr:0.001000 
2022-03-02 11:02:46.205260 : Step: 470/25000, accuracy: 1.000000, cls loss: 0.000061, bbox loss: 85.043867,Landmark loss :193.334363,L2 loss: 1.518463, Total Loss: 237.374820 ,lr:0.001000 
